epoch,learning_rate,step,train_iou,train_loss,val_iou,val_loss
0,6.000317807774991e-05,49,0.02409563958644867,0.9338418245315552,,
0,6.001297879265621e-05,99,0.0682767704129219,0.9316587448120117,,
0,6.002939699101262e-05,149,0.08507321029901505,0.8015636801719666,,
0,6.005243994877674e-05,199,0.10525687783956528,0.8668023347854614,,
0,6.0082100389990956e-05,249,0.11403238028287888,0.8503419160842896,,
1,6.011838195263408e-05,299,0.1329025775194168,0.8363054394721985,,
1,6.0161284636706114e-05,349,0.13879841566085815,0.8307000994682312,,
1,6.0210804804228246e-05,399,0.1512872725725174,0.609531581401825,,
1,6.0266946093179286e-05,449,0.1752861738204956,0.6926122903823853,,
1,6.0329704865580425e-05,499,0.16425350308418274,0.7820040583610535,,
1,,516,,,0.19341357052326202,0.6507520079612732
2,6.039908475941047e-05,549,0.17366714775562286,0.7023544907569885,,
2,6.047507849871181e-05,599,0.17863860726356506,0.5761877298355103,,
2,6.055768972146325e-05,649,0.22936826944351196,0.7340347766876221,,
2,6.0646918427664787e-05,699,0.237535297870636,0.7073157429695129,,
2,6.074276097933762e-05,749,0.18179184198379517,0.669508159160614,,
2,,775,,,0.21292763948440552,0.6152755618095398
3,6.084521737648174e-05,799,0.2075008749961853,0.7434128522872925,,
3,6.095428761909716e-05,849,0.21059659123420715,0.7245263457298279,,
3,6.106997170718387e-05,899,0.18856199085712433,0.7546187043190002,,
3,6.119226600276306e-05,949,0.1952073872089386,0.747775673866272,,
3,6.132116686785594e-05,999,0.1800169050693512,0.7561281323432922,,
3,,1034,,,0.23274821043014526,0.5925173163414001
4,6.14566815784201e-05,1049,0.2695382833480835,0.5789221525192261,,
4,6.159880285849795e-05,1099,0.2784949541091919,0.6594476103782654,,
4,6.174752343213186e-05,1149,0.22478115558624268,0.7152337431907654,,
4,6.190285785123706e-05,1199,0.20732784271240234,0.6340133547782898,,
4,6.206479156389832e-05,1249,0.2646856904029846,0.6572944521903992,,
4,,1293,,,0.25032517313957214,0.564590334892273
5,6.223333184607327e-05,1299,0.24877022206783295,0.6721014380455017,,
5,6.240847142180428e-05,1349,0.246779665350914,0.5844900608062744,,
5,6.259020301513374e-05,1399,0.24367031455039978,0.6783091425895691,,
5,6.277854117797688e-05,1449,0.241803377866745,0.6830757856369019,,
5,6.297347135841846e-05,1499,0.22860518097877502,0.6950387358665466,,
5,6.31749935564585e-05,1549,0.3033769726753235,0.5942374467849731,,
5,,1552,,,0.2640206217765808,0.5465810894966125
6,6.338310777209699e-05,1599,0.24331128597259521,0.5735096335411072,,
6,6.359781400533393e-05,1649,0.28667372465133667,0.6292853355407715,,
6,6.38191049802117e-05,1699,0.24350538849830627,0.6992334127426147,,
6,6.404698797268793e-05,1749,0.3107433319091797,0.6078609824180603,,
6,6.428144843084738e-05,1799,0.2033027857542038,0.629025936126709,,
6,,1811,,,0.2752583920955658,0.5282543897628784
7,6.452249363064766e-05,1849,0.2480393648147583,0.6684111952781677,,
7,6.477011629613116e-05,1899,0.20209434628486633,0.7204790115356445,,
7,6.50243237032555e-05,1949,0.2576330006122589,0.5716135501861572,,
7,6.528510130010545e-05,1999,0.30453863739967346,0.5954974293708801,,
7,6.555244908668101e-05,2049,0.3078494668006897,0.5949046015739441,,
7,,2070,,,0.28563109040260315,0.5141482949256897
8,6.582636706298217e-05,2099,0.27478474378585815,0.5538961291313171,,
8,6.610685522900894e-05,2149,0.2996585965156555,0.6132580637931824,,
8,6.639390630880371e-05,2199,0.23505045473575592,0.5880536437034607,,
8,6.668752030236647e-05,2249,0.329423189163208,0.5747089385986328,,
8,6.69876899337396e-05,2299,0.32805320620536804,0.5752658247947693,,
8,,2329,,,0.29073384404182434,0.5072987079620361
9,6.729442247888073e-05,2349,0.33653032779693604,0.4754142761230469,,
9,6.760770338587463e-05,2399,0.25826090574264526,0.4606285095214844,,
9,6.79275399306789e-05,2449,0.34463414549827576,0.46890756487846375,,
9,6.825392483733594e-05,2499,0.29626861214637756,0.5136908888816833,,
9,6.858685082988814e-05,2549,0.34211868047714233,0.5507283210754395,,
9,,2588,,,0.2948015034198761,0.5008406043052673
10,6.892632518429309e-05,2599,0.3407038152217865,0.46674251556396484,,
10,6.927233334863558e-05,2649,0.3043196201324463,0.6161813735961914,,
10,6.962488259887323e-05,2699,0.4272688627243042,0.4597553312778473,,
10,6.99839583830908e-05,2749,0.2949444055557251,0.6014608144760132,,
10,7.03495679772459e-05,2799,0.26860958337783813,0.649570643901825,,
10,,2847,,,0.30080223083496094,0.4935839772224426
11,7.072169682942331e-05,2849,0.2792956233024597,0.44198450446128845,,
11,7.110035221558064e-05,2899,0.297077476978302,0.5941011905670166,,
11,7.148552685976028e-05,2949,0.2845231890678406,0.614329993724823,,
11,7.187722076196223e-05,2999,0.3660432994365692,0.5283611416816711,,
11,7.227541937027127e-05,3049,0.30542099475860596,0.6011557579040527,,
11,7.268012996064499e-05,3099,0.25416994094848633,0.6674375534057617,,
11,,3106,,,0.30790868401527405,0.48514997959136963
12,7.30913452571258e-05,3149,0.3343082368373871,0.4678095877170563,,
12,7.350906525971368e-05,3199,0.3201676905155182,0.5839812159538269,,
12,7.393327541649342e-05,3249,0.25995150208473206,0.5601961016654968,,
12,7.436398300342262e-05,3299,0.36075863242149353,0.5339253544807434,,
12,7.480117346858606e-05,3349,0.3166355490684509,0.5748201608657837,,
12,,3365,,,0.3153633177280426,0.47425034642219543
13,7.524485408794135e-05,3399,0.24912506341934204,0.6954044699668884,,
13,7.569501030957326e-05,3449,0.3090725541114807,0.591498076915741,,
13,7.615164940943941e-05,3499,0.3232228755950928,0.4739944040775299,,
13,7.661475683562458e-05,3549,0.31698548793792725,0.5964764952659607,,
13,7.708433986408636e-05,3599,0.3307493329048157,0.5592561364173889,,
13,,3624,,,0.3180064558982849,0.4700315594673157
14,7.756037666695192e-05,3649,0.40064921975135803,0.4818064868450165,,
14,7.80428817961365e-05,3699,0.3819063901901245,0.5239071249961853,,
14,7.853184069972485e-05,3749,0.38988539576530457,0.49958038330078125,,
14,7.902724610175937e-05,3799,0.27194613218307495,0.6362147331237793,,
14,7.952909800224006e-05,3849,0.36338478326797485,0.5317735075950623,,
14,,3883,,,0.32489538192749023,0.4632602632045746
15,8.003739640116692e-05,3899,0.33371976017951965,0.5703328847885132,,
15,8.055212674662471e-05,3949,0.25901317596435547,0.664821445941925,,
15,8.107328903861344e-05,3999,0.33986228704452515,0.5381181240081787,,
15,8.160088327713311e-05,4049,0.314439058303833,0.5750188231468201,,
15,8.213489491026849e-05,4099,0.3319167494773865,0.4833686053752899,,
15,,4142,,,0.3235257565975189,0.4637340009212494
16,8.267532393801957e-05,4149,0.5023019909858704,0.36674764752388,,
16,8.322217036038637e-05,4199,0.22140607237815857,0.7004117369651794,,
16,8.377541962545365e-05,4249,0.3621496856212616,0.5254874229431152,,
16,8.433507173322141e-05,4299,0.26856303215026855,0.633653461933136,,
16,8.490112668368965e-05,4349,0.3613906502723694,0.529882550239563,,
16,8.547356992494315e-05,4399,0.32876384258270264,0.47887277603149414,,
16,,4401,,,0.3288763761520386,0.4583158791065216
