epoch,learning_rate,step,train_iou,train_loss,val_iou,val_loss
0,6.000317807774991e-05,49,0.038445912301540375,0.9301647543907166,,
0,6.001297879265621e-05,99,0.07188472151756287,0.8092695474624634,,
0,6.002939699101262e-05,149,0.1165090799331665,0.8831319808959961,,
0,6.005243994877674e-05,199,0.1435571312904358,0.8458315134048462,,
0,6.0082100389990956e-05,249,0.13484835624694824,0.8306776881217957,,
1,6.011838195263408e-05,299,0.15654417872428894,0.8021688461303711,,
1,6.0161284636706114e-05,349,0.12812232971191406,0.8233559727668762,,
1,6.0210804804228246e-05,399,0.13150428235530853,0.8170324563980103,,
1,6.0266946093179286e-05,449,0.17154937982559204,0.6859772205352783,,
1,6.0329704865580425e-05,499,0.18437731266021729,0.7776976823806763,,
1,,516,,,0.18763704597949982,0.6492923498153687
2,6.039908475941047e-05,549,0.19118638336658478,0.7682873606681824,,
2,6.047507849871181e-05,599,0.1664256751537323,0.7804919481277466,,
2,6.055768972146325e-05,649,0.23614393174648285,0.7125459909439087,,
2,6.0646918427664787e-05,699,0.18957500159740448,0.6563019752502441,,
2,6.074276097933762e-05,749,0.2180371880531311,0.6361479163169861,,
2,,775,,,0.19796164333820343,0.6320570111274719
3,6.084521737648174e-05,799,0.20022554695606232,0.7599648833274841,,
3,6.095428761909716e-05,849,0.21332889795303345,0.6482744216918945,,
3,6.106997170718387e-05,899,0.20088276267051697,0.7520107626914978,,
3,6.119226600276306e-05,949,0.17735783755779266,0.7653084993362427,,
3,6.132116686785594e-05,999,0.2423381805419922,0.7067487835884094,,
3,,1034,,,0.2164643406867981,0.6110899448394775
4,6.14566815784201e-05,1049,0.19825492799282074,0.7538871765136719,,
4,6.159880285849795e-05,1099,0.18432340025901794,0.7413613200187683,,
4,6.174752343213186e-05,1149,0.23690538108348846,0.5979213714599609,,
4,6.190285785123706e-05,1199,0.22147136926651,0.7168826460838318,,
4,6.206479156389832e-05,1249,0.21291659772396088,0.6382657885551453,,
4,,1293,,,0.23272664844989777,0.5881596207618713
5,6.223333184607327e-05,1299,0.26222264766693115,0.6617332696914673,,
5,6.240847142180428e-05,1349,0.26326560974121094,0.6718490123748779,,
5,6.259020301513374e-05,1399,0.15014642477035522,0.6897968649864197,,
5,6.277854117797688e-05,1449,0.21631962060928345,0.6105719804763794,,
5,6.297347135841846e-05,1499,0.2589268386363983,0.6565975546836853,,
5,6.31749935564585e-05,1549,0.20868134498596191,0.7195640802383423,,
5,,1552,,,0.249236598610878,0.5665366053581238
6,6.338310777209699e-05,1599,0.22526511549949646,0.682525098323822,,
6,6.359781400533393e-05,1649,0.24416956305503845,0.5868661999702454,,
6,6.38191049802117e-05,1699,0.24114778637886047,0.6980618834495544,,
6,6.404698797268793e-05,1749,0.3439044952392578,0.5647990107536316,,
6,6.428144843084738e-05,1799,0.24498909711837769,0.6911118030548096,,
6,,1811,,,0.25849607586860657,0.5517007112503052
7,6.452249363064766e-05,1849,0.3088229298591614,0.6221657991409302,,
7,6.477011629613116e-05,1899,0.22081948816776276,0.49178409576416016,,
7,6.50243237032555e-05,1949,0.26882004737854004,0.5323734879493713,,
7,6.528510130010545e-05,1999,0.3327106237411499,0.573398232460022,,
7,6.555244908668101e-05,2049,0.26397544145584106,0.6507450938224792,,
7,,2070,,,0.26723673939704895,0.5392979383468628
8,6.582636706298217e-05,2099,0.2284197360277176,0.680616557598114,,
8,6.610685522900894e-05,2149,0.22507032752037048,0.5957774519920349,,
8,6.639390630880371e-05,2199,0.21538078784942627,0.6841422915458679,,
8,6.668752030236647e-05,2249,0.2435918152332306,0.6757290959358215,,
8,6.69876899337396e-05,2299,0.27415063977241516,0.6329457759857178,,
8,,2329,,,0.2721812427043915,0.5319871306419373
9,6.729442247888073e-05,2349,0.25557076930999756,0.5838366746902466,,
9,6.760770338587463e-05,2399,0.22446848452091217,0.6939782500267029,,
9,6.79275399306789e-05,2449,0.32498201727867126,0.4605424404144287,,
9,6.825392483733594e-05,2499,0.274167537689209,0.6324216723442078,,
9,6.858685082988814e-05,2549,0.22667129337787628,0.4961893558502197,,
9,,2588,,,0.2777010500431061,0.5230429172515869
10,6.892632518429309e-05,2599,0.2683905363082886,0.649214506149292,,
10,6.927233334863558e-05,2649,0.27010390162467957,0.626412034034729,,
10,6.962488259887323e-05,2699,0.29267528653144836,0.616689145565033,,
10,6.99839583830908e-05,2749,0.23617376387119293,0.6908791661262512,,
10,7.03495679772459e-05,2799,0.276175320148468,0.5464136004447937,,
10,,2847,,,0.279847651720047,0.5195139646530151
11,7.072169682942331e-05,2849,0.20966269075870514,0.6200055480003357,,
11,7.110035221558064e-05,2899,0.26134249567985535,0.6516642570495605,,
11,7.148552685976028e-05,2949,0.2803192436695099,0.5067091584205627,,
11,7.187722076196223e-05,2999,0.3589279353618622,0.5355901122093201,,
11,7.227541937027127e-05,3049,0.2496161311864853,0.6676151156425476,,
11,7.268012996064499e-05,3099,0.2537543773651123,0.46697378158569336,,
11,,3106,,,0.2834778428077698,0.5137931108474731
12,7.30913452571258e-05,3149,0.3702836334705353,0.4185020625591278,,
12,7.350906525971368e-05,3199,0.3178781270980835,0.5819298028945923,,
12,7.393327541649342e-05,3249,0.32689741253852844,0.5705004334449768,,
12,7.436398300342262e-05,3299,0.2540509104728699,0.5535556077957153,,
12,7.480117346858606e-05,3349,0.2770734429359436,0.6171938180923462,,
12,,3365,,,0.28876110911369324,0.5071333050727844
13,7.524485408794135e-05,3399,0.2880321741104126,0.6143999099731445,,
13,7.569501030957326e-05,3449,0.30709683895111084,0.595134437084198,,
13,7.615164940943941e-05,3499,0.24093952775001526,0.6713982224464417,,
13,7.661475683562458e-05,3549,0.25983208417892456,0.6534663438796997,,
13,7.708433986408636e-05,3599,0.3235793113708496,0.5841166973114014,,
13,,3624,,,0.29505452513694763,0.4994804263114929
14,7.756037666695192e-05,3649,0.27345430850982666,0.6430073380470276,,
14,7.80428817961365e-05,3699,0.2274399697780609,0.5902310609817505,,
14,7.853184069972485e-05,3749,0.2740277349948883,0.643170952796936,,
14,7.902724610175937e-05,3799,0.32062819600105286,0.5832414627075195,,
14,7.952909800224006e-05,3849,0.3299814462661743,0.46252337098121643,,
14,,3883,,,0.2985868752002716,0.49345701932907104
15,8.003739640116692e-05,3899,0.29004156589508057,0.6293671131134033,,
15,8.055212674662471e-05,3949,0.36160337924957275,0.5252883434295654,,
15,8.107328903861344e-05,3999,0.3056454658508301,0.4955456256866455,,
15,8.160088327713311e-05,4049,0.28446072340011597,0.62566739320755,,
15,8.213489491026849e-05,4099,0.23648355901241302,0.5700916647911072,,
15,,4142,,,0.3043760657310486,0.48648956418037415
16,8.267532393801957e-05,4149,0.2776365578174591,0.603585422039032,,
16,8.322217036038637e-05,4199,0.3731265068054199,0.5229400992393494,,
16,8.377541962545365e-05,4249,0.3122081458568573,0.5985803008079529,,
16,8.433507173322141e-05,4299,0.24781306087970734,0.570304274559021,,
16,8.490112668368965e-05,4349,0.29024118185043335,0.6029536128044128,,
16,8.547356992494315e-05,4399,0.35817426443099976,0.5503193736076355,,
16,,4401,,,0.3103480935096741,0.47942596673965454
17,8.605239418102428e-05,4449,0.31193843483924866,0.47890836000442505,,
17,8.663760672789067e-05,4499,0.2780190110206604,0.5204557776451111,,
17,8.722919301362708e-05,4549,0.40384459495544434,0.4726913571357727,,
17,8.782715303823352e-05,4599,0.36672601103782654,0.5189672708511353,,
17,8.843147952575237e-05,4649,0.2745123505592346,0.6032405495643616,,
17,,4660,,,0.31452706456184387,0.4757044315338135
18,8.90421579242684e-05,4699,0.29795074462890625,0.5894784331321716,,
18,8.965919550973922e-05,4749,0.29376420378685,0.6219643950462341,,
18,9.028258500620723e-05,4799,0.33649712800979614,0.5621901750564575,,
18,9.091231186175719e-05,4849,0.2906941771507263,0.5198292136192322,,
18,9.15483760763891e-05,4899,0.25781959295272827,0.6716182827949524,,
18,,4919,,,0.3215380907058716,0.4681345820426941
19,9.219077037414536e-05,4949,0.3152405023574829,0.5889002680778503,,
19,9.283949475502595e-05,4999,0.23407387733459473,0.5902770757675171,,
19,9.349452739115804e-05,5049,0.24952709674835205,0.4574125409126282,,
19,9.415588283445686e-05,5099,0.27965739369392395,0.5141010284423828,,
19,9.482354653300717e-05,5149,0.3343384563922882,0.46255937218666077,,
19,,5178,,,0.32439666986465454,0.4639733135700226
20,9.549750393489376e-05,5199,0.336894154548645,0.5434578061103821,,
20,9.617776231607422e-05,5249,0.4246561527252197,0.46051618456840515,,
20,9.686430712463334e-05,5299,0.4021146297454834,0.3844025135040283,,
20,9.75571310846135e-05,5349,0.3139859437942505,0.5721060633659363,,
20,9.82562341960147e-05,5399,0.21648140251636505,0.5972023606300354,,
20,,5437,,,0.32922616600990295,0.458185613155365
21,9.896160190692171e-05,5449,0.2808513045310974,0.5271755456924438,,
21,9.967323421733454e-05,5499,0.4863133430480957,0.41161641478538513,,
21,0.00010039112385129556,5549,0.4837738275527954,0.4115731716156006,,
21,0.00010111526353284717,5599,0.2488173097372055,0.6746112108230591,,
21,0.00010184564598603174,5649,0.4279763698577881,0.46611538529396057,,
21,,5696,,,0.33348914980888367,0.45378395915031433
22,0.00010258226393489167,5699,0.3789193332195282,0.5040504336357117,,
22,0.00010332511737942696,5749,0.3419269621372223,0.47232627868652344,,
22,0.00010407418449176475,5799,0.3409309387207031,0.46026182174682617,,
22,0.00010482947254786268,5849,0.3251379132270813,0.48037615418434143,,
22,0.0001055909669958055,5899,0.30819451808929443,0.5956489443778992,,
22,0.00010635866783559322,5949,0.38136592507362366,0.4899847209453583,,
22,,5955,,,0.3380892276763916,0.4489268660545349
23,0.00010713256051531062,5999,0.33422064781188965,0.4721399247646332,,
