epoch,learning_rate,step,train_iou,train_loss,val_iou,val_loss
0,6.000317807774991e-05,49,0.03043544851243496,0.9376317858695984,,
0,6.001297879265621e-05,99,0.09480427205562592,0.9008733034133911,,
0,6.002939699101262e-05,149,0.11455042660236359,0.8752027750015259,,
0,6.005243994877674e-05,199,0.12749768793582916,0.749810516834259,,
0,6.0082100389990956e-05,249,0.13729596138000488,0.8417156338691711,,
1,6.011838195263408e-05,299,0.17428801953792572,0.8053434491157532,,
1,6.0161284636706114e-05,349,0.18847452104091644,0.7883604168891907,,
1,6.0210804804228246e-05,399,0.1742129772901535,0.7877077460289001,,
1,6.0266946093179286e-05,449,0.16156108677387238,0.7969164848327637,,
1,6.0329704865580425e-05,499,0.19289809465408325,0.7599460482597351,,
1,,516,,,0.19902153313159943,0.6403442025184631
2,6.039908475941047e-05,549,0.16924984753131866,0.6772130727767944,,
2,6.047507849871181e-05,599,0.22439229488372803,0.6329488158226013,,
2,6.055768972146325e-05,649,0.21488159894943237,0.7246673107147217,,
2,6.0646918427664787e-05,699,0.20257849991321564,0.6441923975944519,,
2,6.074276097933762e-05,749,0.24224668741226196,0.6892678141593933,,
2,,775,,,0.22052249312400818,0.6075817942619324
3,6.084521737648174e-05,799,0.20962698757648468,0.7383497357368469,,
3,6.095428761909716e-05,849,0.19361057877540588,0.5621116161346436,,
3,6.106997170718387e-05,899,0.21240314841270447,0.7160549759864807,,
3,6.119226600276306e-05,949,0.19298690557479858,0.7557007074356079,,
3,6.132116686785594e-05,999,0.1992403268814087,0.7341222167015076,,
3,,1034,,,0.23107115924358368,0.5896677374839783
4,6.14566815784201e-05,1049,0.299723744392395,0.6279105544090271,,
4,6.159880285849795e-05,1099,0.22948111593723297,0.7071866989135742,,
4,6.174752343213186e-05,1149,0.2061728537082672,0.735318124294281,,
4,6.190285785123706e-05,1199,0.242742121219635,0.692257821559906,,
4,6.206479156389832e-05,1249,0.2233540117740631,0.7218722105026245,,
4,,1293,,,0.25395119190216064,0.5632304549217224
5,6.223333184607327e-05,1299,0.2878406345844269,0.6479334831237793,,
5,6.240847142180428e-05,1349,0.22743716835975647,0.7031680345535278,,
5,6.259020301513374e-05,1399,0.22460390627384186,0.6298696398735046,,
5,6.277854117797688e-05,1449,0.3228054940700531,0.4796271026134491,,
5,6.297347135841846e-05,1499,0.28186315298080444,0.6434880495071411,,
5,6.31749935564585e-05,1549,0.2861930727958679,0.4280851483345032,,
5,,1552,,,0.27209797501564026,0.5333606004714966
6,6.338310777209699e-05,1599,0.2799121141433716,0.5377732515335083,,
6,6.359781400533393e-05,1649,0.213975727558136,0.6058060526847839,,
6,6.38191049802117e-05,1699,0.19929182529449463,0.7226471900939941,,
6,6.404698797268793e-05,1749,0.27513375878334045,0.638797402381897,,
6,6.428144843084738e-05,1799,0.35259562730789185,0.5294179320335388,,
6,,1811,,,0.2839777171611786,0.5140799880027771
7,6.452249363064766e-05,1849,0.29286810755729675,0.6144775748252869,,
7,6.477011629613116e-05,1899,0.3042745590209961,0.5933592915534973,,
7,6.50243237032555e-05,1949,0.29625481367111206,0.6153325438499451,,
7,6.528510130010545e-05,1999,0.3363571763038635,0.5487462878227234,,
7,6.555244908668101e-05,2049,0.31217485666275024,0.5070244669914246,,
7,,2070,,,0.2880714237689972,0.5074864029884338
8,6.582636706298217e-05,2099,0.23812595009803772,0.6673254370689392,,
8,6.610685522900894e-05,2149,0.2708224654197693,0.6270015835762024,,
8,6.639390630880371e-05,2199,0.3090061545372009,0.5996562838554382,,
8,6.668752030236647e-05,2249,0.29574817419052124,0.6041812896728516,,
8,6.69876899337396e-05,2299,0.2767797112464905,0.6447697281837463,,
8,,2329,,,0.2946016490459442,0.49819132685661316
9,6.729442247888073e-05,2349,0.24696174263954163,0.6769515872001648,,
9,6.760770338587463e-05,2399,0.25707119703292847,0.6558364033699036,,
9,6.79275399306789e-05,2449,0.23946675658226013,0.49142274260520935,,
9,6.825392483733594e-05,2499,0.3350561559200287,0.5520166754722595,,
9,6.858685082988814e-05,2549,0.29386764764785767,0.5975926518440247,,
9,,2588,,,0.29827770590782166,0.49439674615859985
10,6.892632518429309e-05,2599,0.2888147234916687,0.6206936240196228,,
10,6.927233334863558e-05,2649,0.28385746479034424,0.5494109988212585,,
10,6.962488259887323e-05,2699,0.2102918177843094,0.6954731941223145,,
10,6.99839583830908e-05,2749,0.2607816159725189,0.656538188457489,,
10,7.03495679772459e-05,2799,0.34797224402427673,0.5287710428237915,,
10,,2847,,,0.30112823843955994,0.4895964562892914
11,7.072169682942331e-05,2849,0.31104111671447754,0.4797212779521942,,
11,7.110035221558064e-05,2899,0.27882373332977295,0.5140799283981323,,
11,7.148552685976028e-05,2949,0.291697233915329,0.6068121194839478,,
11,7.187722076196223e-05,2999,0.25095200538635254,0.6536504626274109,,
11,7.227541937027127e-05,3049,0.398978054523468,0.38831233978271484,,
11,7.268012996064499e-05,3099,0.24210235476493835,0.650585412979126,,
11,,3106,,,0.30691975355148315,0.48250138759613037
12,7.30913452571258e-05,3149,0.2753054201602936,0.6251503229141235,,
12,7.350906525971368e-05,3199,0.2276514172554016,0.6883372664451599,,
12,7.393327541649342e-05,3249,0.3254777789115906,0.550774097442627,,
12,7.436398300342262e-05,3299,0.2868383228778839,0.5130488276481628,,
12,7.480117346858606e-05,3349,0.3427107334136963,0.5606471300125122,,
12,,3365,,,0.3131626844406128,0.47707799077033997
13,7.524485408794135e-05,3399,0.31253811717033386,0.5853739380836487,,
13,7.569501030957326e-05,3449,0.327645868062973,0.5810001492500305,,
13,7.615164940943941e-05,3499,0.26168474555015564,0.5667323470115662,,
13,7.661475683562458e-05,3549,0.3106074035167694,0.5852469205856323,,
13,7.708433986408636e-05,3599,0.3442411422729492,0.5595468878746033,,
13,,3624,,,0.3168158531188965,0.4717082381248474
14,7.756037666695192e-05,3649,0.4102175533771515,0.48071375489234924,,
14,7.80428817961365e-05,3699,0.296017050743103,0.5896095037460327,,
14,7.853184069972485e-05,3749,0.21490000188350677,0.7024943232536316,,
14,7.902724610175937e-05,3799,0.4062798023223877,0.49724331498146057,,
14,7.952909800224006e-05,3849,0.2915223240852356,0.41278401017189026,,
14,,3883,,,0.3192119300365448,0.46956726908683777
15,8.003739640116692e-05,3899,0.4094942808151245,0.4760981500148773,,
15,8.055212674662471e-05,3949,0.3286989629268646,0.5559139251708984,,
15,8.107328903861344e-05,3999,0.2863618731498718,0.6175139546394348,,
15,8.160088327713311e-05,4049,0.30114853382110596,0.4972076416015625,,
15,8.213489491026849e-05,4099,0.26512742042541504,0.6326404809951782,,
15,,4142,,,0.3215242326259613,0.4659142792224884
16,8.267532393801957e-05,4149,0.31698325276374817,0.4785524308681488,,
16,8.322217036038637e-05,4199,0.3199242949485779,0.5473683476448059,,
16,8.377541962545365e-05,4249,0.2909724712371826,0.5968599319458008,,
16,8.433507173322141e-05,4299,0.2864249348640442,0.6244677901268005,,
16,8.490112668368965e-05,4349,0.3278018832206726,0.4666520655155182,,
16,8.547356992494315e-05,4399,0.28207817673683167,0.6083003282546997,,
16,,4401,,,0.32479602098464966,0.4617835581302643
17,8.605239418102428e-05,4449,0.33589088916778564,0.5717541575431824,,
17,8.663760672789067e-05,4499,0.3786070644855499,0.5053480267524719,,
17,8.722919301362708e-05,4549,0.3591708838939667,0.5207170844078064,,
17,8.782715303823352e-05,4599,0.304340124130249,0.6023232340812683,,
17,8.843147952575237e-05,4649,0.28708750009536743,0.5190536975860596,,
17,,4660,,,0.3316437005996704,0.45567587018013
18,8.90421579242684e-05,4699,0.34413954615592957,0.45010414719581604,,
18,8.965919550973922e-05,4749,0.3699447810649872,0.4995752274990082,,
18,9.028258500620723e-05,4799,0.3373422622680664,0.5509762167930603,,
18,9.091231186175719e-05,4849,0.3092806339263916,0.4794080853462219,,
18,9.15483760763891e-05,4899,0.2829769253730774,0.5345366597175598,,
18,,4919,,,0.3332536220550537,0.45266810059547424
19,9.219077037414536e-05,4949,0.37366461753845215,0.522438108921051,,
19,9.283949475502595e-05,4999,0.2558293044567108,0.5609323978424072,,
19,9.349452739115804e-05,5049,0.3318062424659729,0.47274479269981384,,
19,9.415588283445686e-05,5099,0.28953978419303894,0.6160422563552856,,
19,9.482354653300717e-05,5149,0.34677091240882874,0.5253379344940186,,
19,,5178,,,0.33570748567581177,0.4509941041469574
20,9.549750393489376e-05,5199,0.25373131036758423,0.5519658923149109,,
20,9.617776231607422e-05,5249,0.3882731795310974,0.48645734786987305,,
20,9.686430712463334e-05,5299,0.29084184765815735,0.6345759630203247,,
20,9.75571310846135e-05,5349,0.38588905334472656,0.5103945732116699,,
20,9.82562341960147e-05,5399,0.4627475142478943,0.40853819251060486,,
20,,5437,,,0.3354906737804413,0.45018771290779114
21,9.896160190692171e-05,5449,0.24063560366630554,0.6749565005302429,,
21,9.967323421733454e-05,5499,0.44452688097953796,0.32687482237815857,,
21,0.00010039112385129556,5549,0.32685786485671997,0.5464903116226196,,
21,0.00010111526353284717,5599,0.3884129524230957,0.4788380265235901,,
