epoch,learning_rate,step,train_iou,train_loss,val_iou,val_loss
0,6.000317807774991e-05,49,0.15717419981956482,0.8139618039131165,,
0,6.001297879265621e-05,99,0.28744781017303467,0.6743784546852112,,
0,6.002939699101262e-05,149,0.24627773463726044,0.6062600612640381,,
0,6.005243994877674e-05,199,0.27064648270606995,0.6698727607727051,,
0,6.0082100389990956e-05,249,0.27001577615737915,0.6584757566452026,,
1,6.011838195263408e-05,299,0.28477925062179565,0.6198076605796814,,
1,6.0161284636706114e-05,349,0.4157330393791199,0.4917508065700531,,
1,6.0210804804228246e-05,399,0.24435746669769287,0.3950316905975342,,
1,6.0266946093179286e-05,449,0.28628283739089966,0.5121802687644958,,
1,6.0329704865580425e-05,499,0.4491652846336365,0.4577430784702301,,
1,,516,,,0.374698281288147,0.41924235224723816
2,6.039908475941047e-05,549,0.4112752079963684,0.495411217212677,,
2,6.047507849871181e-05,599,0.4825877547264099,0.4118661880493164,,
2,6.055768972146325e-05,649,0.5106325149536133,0.356781005859375,,
2,6.0646918427664787e-05,699,0.44223326444625854,0.37740013003349304,,
2,6.074276097933762e-05,749,0.3831600546836853,0.5221442580223083,,
2,,775,,,0.38573217391967773,0.40632081031799316
3,6.084521737648174e-05,799,0.3863487243652344,0.4146519601345062,,
3,6.095428761909716e-05,849,0.41092753410339355,0.4844428598880768,,
3,6.106997170718387e-05,899,0.4248669743537903,0.4729444980621338,,
3,6.119226600276306e-05,949,0.41434165835380554,0.4812214970588684,,
3,6.132116686785594e-05,999,0.5218356847763062,0.38160356879234314,,
3,,1034,,,0.40256544947624207,0.3872125446796417
4,6.14566815784201e-05,1049,0.39901572465896606,0.5059584975242615,,
4,6.159880285849795e-05,1099,0.29867130517959595,0.4164576232433319,,
4,6.174752343213186e-05,1149,0.4037567675113678,0.40099477767944336,,
4,6.190285785123706e-05,1199,0.4778343737125397,0.4261300265789032,,
4,6.206479156389832e-05,1249,0.47179943323135376,0.3409050703048706,,
4,,1293,,,0.40532562136650085,0.38466086983680725
5,6.223333184607327e-05,1299,0.49078530073165894,0.22369776666164398,,
5,6.240847142180428e-05,1349,0.4050298035144806,0.39828577637672424,,
5,6.259020301513374e-05,1399,0.41611987352371216,0.46653732657432556,,
5,6.277854117797688e-05,1449,0.41227710247039795,0.4738520681858063,,
5,6.297347135841846e-05,1499,0.4320468306541443,0.4629698395729065,,
5,6.31749935564585e-05,1549,0.38272297382354736,0.5075669288635254,,
5,,1552,,,0.41698774695396423,0.3723662793636322
6,6.338310777209699e-05,1599,0.4441721737384796,0.43554702401161194,,
6,6.359781400533393e-05,1649,0.37242549657821655,0.42170611023902893,,
6,6.38191049802117e-05,1699,0.36046773195266724,0.44398608803749084,,
6,6.404698797268793e-05,1749,0.45098966360092163,0.32893747091293335,,
6,6.428144843084738e-05,1799,0.38100117444992065,0.39653339982032776,,
6,,1811,,,0.4196077585220337,0.37260615825653076
7,6.452249363064766e-05,1849,0.5281920433044434,0.3775652050971985,,
7,6.477011629613116e-05,1899,0.3783046007156372,0.4273633062839508,,
7,6.50243237032555e-05,1949,0.47210967540740967,0.4067230224609375,,
7,6.528510130010545e-05,1999,0.4074741005897522,0.4681224822998047,,
7,6.555244908668101e-05,2049,0.3542787432670593,0.5473193526268005,,
7,,2070,,,0.4222724139690399,0.36600375175476074
8,6.582636706298217e-05,2099,0.46785759925842285,0.4027511775493622,,
8,6.610685522900894e-05,2149,0.44029730558395386,0.3612735867500305,,
8,6.639390630880371e-05,2199,0.31736111640930176,0.5825625658035278,,
8,6.668752030236647e-05,2249,0.48156899213790894,0.4095829427242279,,
8,6.69876899337396e-05,2299,0.31367236375808716,0.47796329855918884,,
8,,2329,,,0.42721378803253174,0.3619651794433594
9,6.729442247888073e-05,2349,0.4045031666755676,0.2970878779888153,,
9,6.760770338587463e-05,2399,0.43057769536972046,0.47445034980773926,,
9,6.79275399306789e-05,2449,0.34825778007507324,0.4677548408508301,,
9,6.825392483733594e-05,2499,0.45862388610839844,0.4148871600627899,,
9,6.858685082988814e-05,2549,0.5142678022384644,0.286300927400589,,
9,,2588,,,0.4331779181957245,0.3570246398448944
10,6.892632518429309e-05,2599,0.6230223178863525,0.26048731803894043,,
10,6.927233334863558e-05,2649,0.5679322481155396,0.33102911710739136,,
10,6.962488259887323e-05,2699,0.5405625104904175,0.33031556010246277,,
10,6.99839583830908e-05,2749,0.4759855270385742,0.3951883018016815,,
10,7.03495679772459e-05,2799,0.3170037865638733,0.48170357942581177,,
10,,2847,,,0.4359780251979828,0.3529965281486511
11,7.072169682942331e-05,2849,0.4317430853843689,0.46475648880004883,,
11,7.110035221558064e-05,2899,0.45197200775146484,0.34944429993629456,,
11,7.148552685976028e-05,2949,0.3181808590888977,0.40112313628196716,,
